"reg";"cl_age90";"jour";"hosp";"rea";"rad";"dc"
"01";"0";"2020-04-07";34;17;43;8
"01";"09";"2020-04-07";0;0;0;0
"01";"19";"2020-04-07";0;0;0;0
"01";"29";"2020-04-07";0;0;1;0
"01";"39";"2020-04-07";1;1;3;0
"01";"49";"2020-04-07";3;1;3;0
"01";"59";"2020-04-07";2;2;16;0
"01";"69";"2020-04-07";12;7;9;1
"01";"79";"2020-04-07";9;5;3;4
"01";"89";"2020-04-07";7;1;7;3
"01";"90";"2020-04-07";0;0;0;0
"02";"0";"2020-04-07";51;19;41;4
"02";"09";"2020-04-07";0;0;0;0
"02";"19";"2020-04-07";0;0;0;0
"02";"29";"2020-04-07";1;0;2;0
"02";"39";"2020-04-07";1;0;2;0
"02";"49";"2020-04-07";5;0;10;0
"02";"59";"2020-04-07";13;8;9;0
"02";"69";"2020-04-07";15;6;9;0
"02";"79";"2020-04-07";12;4;7;1
"02";"89";"2020-04-07";4;1;2;3
"02";"90";"2020-04-07";0;0;0;0
"03";"0";"2020-04-07";7;1;8;0
"03";"09";"2020-04-07";0;0;0;0
"03";"19";"2020-04-07";0;0;0;0
"03";"29";"2020-04-07";1;0;0;0
"03";"39";"2020-04-07";0;0;1;0
"03";"49";"2020-04-07";2;0;4;0
"03";"59";"2020-04-07";0;0;1;0
"03";"69";"2020-04-07";2;0;1;0
"03";"79";"2020-04-07";0;0;0;0
"03";"89";"2020-04-07";1;1;1;0
"03";"90";"2020-04-07";0;0;0;0
"04";"0";"2020-04-07";37;4;52;0
"04";"09";"2020-04-07";0;0;0;0
"04";"19";"2020-04-07";0;0;1;0
"04";"29";"2020-04-07";3;0;7;0
"04";"39";"2020-04-07";1;0;10;0
"04";"49";"2020-04-07";3;0;5;0
"04";"59";"2020-04-07";11;2;9;0
"04";"69";"2020-04-07";8;1;11;0
"04";"79";"2020-04-07";5;1;9;0
"04";"89";"2020-04-07";6;0;0;0
"04";"90";"2020-04-07";0;0;0;0
"06";"0";"2020-04-07";16;3;17;2
"06";"09";"2020-04-07";0;0;0;0
"06";"19";"2020-04-07";0;0;0;0
"06";"29";"2020-04-07";2;0;1;0
"06";"39";"2020-04-07";0;0;3;0
"06";"49";"2020-04-07";2;1;4;1
"06";"59";"2020-04-07";2;0;6;1
"06";"69";"2020-04-07";5;2;2;0
"06";"79";"2020-04-07";2;0;0;0
"06";"89";"2020-04-07";3;0;1;0
"06";"90";"2020-04-07";0;0;0;0
"11";"0";"2020-04-07";12074;2601;6225;2627
"11";"09";"2020-04-07";0;0;0;0
"11";"19";"2020-04-07";34;10;47;1
"11";"29";"2020-04-07";166;27;284;3
"11";"39";"2020-04-07";518;135;708;15
"11";"49";"2020-04-07";1106;291;930;48
"11";"59";"2020-04-07";2063;722;1355;187
"11";"69";"2020-04-07";2495;861;1261;374
"11";"79";"2020-04-07";2416;475;856;653
"11";"89";"2020-04-07";2134;39;486;878
"11";"90";"2020-04-07";948;3;130;438
"24";"0";"2020-04-07";803;206;380;140
"24";"09";"2020-04-07";0;0;0;0
"24";"19";"2020-04-07";1;1;7;0
"24";"29";"2020-04-07";8;2;14;0
"24";"39";"2020-04-07";17;7;25;1
"24";"49";"2020-04-07";49;16;63;1
"24";"59";"2020-04-07";74;31;61;4
"24";"69";"2020-04-07";165;77;78;10
"24";"79";"2020-04-07";187;68;72;27
"24";"89";"2020-04-07";185;4;39;59
"24";"90";"2020-04-07";107;0;9;36
"27";"0";"2020-04-07";1212;295;1077;396
"27";"09";"2020-04-07";0;0;0;0
"27";"19";"2020-04-07";5;1;11;0
"27";"29";"2020-04-07";6;0;50;0
"27";"39";"2020-04-07";22;6;90;1
"27";"49";"2020-04-07";39;14;128;4
"27";"59";"2020-04-07";118;47;186;9
"27";"69";"2020-04-07";237;99;197;37
"27";"79";"2020-04-07";299;100;200;87
"27";"89";"2020-04-07";355;25;163;188
"27";"90";"2020-04-07";128;2;40;69
"28";"0";"2020-04-07";713;225;392;147
"28";"09";"2020-04-07";0;0;0;0
"28";"19";"2020-04-07";2;0;2;0
"28";"29";"2020-04-07";5;1;22;0
"28";"39";"2020-04-07";13;5;35;1
"28";"49";"2020-04-07";54;25;48;2
"28";"59";"2020-04-07";92;44;82;8
"28";"69";"2020-04-07";179;76;74;20
"28";"79";"2020-04-07";164;55;69;34
"28";"89";"2020-04-07";156;18;42;56
"28";"90";"2020-04-07";44;0;11;26
"32";"0";"2020-04-07";2336;583;1393;635
"32";"09";"2020-04-07";0;0;0;0
"32";"19";"2020-04-07";6;3;6;0
"32";"29";"2020-04-07";22;7;79;0
"32";"39";"2020-04-07";60;16;138;2
"32";"49";"2020-04-07";145;47;202;8
"32";"59";"2020-04-07";307;125;301;25
"32";"69";"2020-04-07";499;174;219;85
"32";"79";"2020-04-07";568;172;227;148
"32";"89";"2020-04-07";543;34;148;258
"32";"90";"2020-04-07";166;1;48;106
"44";"0";"2020-04-07";4819;950;3461;1674
"44";"09";"2020-04-07";0;0;0;0
"44";"19";"2020-04-07";7;1;26;0
"44";"29";"2020-04-07";47;8;155;1
"44";"39";"2020-04-07";105;24;227;6
"44";"49";"2020-04-07";206;60;350;17
"44";"59";"2020-04-07";562;167;587;49
"44";"69";"2020-04-07";1027;351;716;177
"44";"79";"2020-04-07";1210;293;684;457
"44";"89";"2020-04-07";1181;36;466;700
"44";"90";"2020-04-07";413;2;128;261
"52";"0";"2020-04-07";694;176;517;144
"52";"09";"2020-04-07";0;0;0;0
"52";"19";"2020-04-07";1;0;1;0
"52";"29";"2020-04-07";11;2;19;0
"52";"39";"2020-04-07";15;4;36;0
"52";"49";"2020-04-07";40;14;76;1
"52";"59";"2020-04-07";78;37;97;3
"52";"69";"2020-04-07";148;56;99;19
"52";"79";"2020-04-07";169;61;107;25
"52";"89";"2020-04-07";172;1;70;61
"52";"90";"2020-04-07";58;0;11;35
"53";"0";"2020-04-07";461;133;335;97
"53";"09";"2020-04-07";0;0;0;0
"53";"19";"2020-04-07";1;0;2;0
"53";"29";"2020-04-07";4;1;13;0
"53";"39";"2020-04-07";12;1;38;0
"53";"49";"2020-04-07";29;14;37;0
"53";"59";"2020-04-07";54;27;62;1
"53";"69";"2020-04-07";98;44;65;13
"53";"79";"2020-04-07";123;41;73;20
"53";"89";"2020-04-07";99;5;30;40
"53";"90";"2020-04-07";38;0;9;23
"75";"0";"2020-04-07";792;243;669;152
"75";"09";"2020-04-07";0;0;0;0
"75";"19";"2020-04-07";3;0;10;0
"75";"29";"2020-04-07";7;2;41;0
"75";"39";"2020-04-07";20;5;58;0
"75";"49";"2020-04-07";39;17;89;1
"75";"59";"2020-04-07";95;40;127;8
"75";"69";"2020-04-07";186;85;125;11
"75";"79";"2020-04-07";178;69;95;35
"75";"89";"2020-04-07";175;21;78;64
"75";"90";"2020-04-07";82;1;29;32
"76";"0";"2020-04-07";1031;336;914;180
"76";"09";"2020-04-07";0;0;0;0
"76";"19";"2020-04-07";2;1;7;0
"76";"29";"2020-04-07";9;2;56;1
"76";"39";"2020-04-07";24;4;88;0
"76";"49";"2020-04-07";65;17;126;1
"76";"59";"2020-04-07";127;59;198;7
"76";"69";"2020-04-07";233;106;152;14
"76";"79";"2020-04-07";287;121;172;41
"76";"89";"2020-04-07";202;24;79;87
"76";"90";"2020-04-07";81;2;20;29
"84";"0";"2020-04-07";2959;755;2125;600
"84";"09";"2020-04-07";0;0;0;0
"84";"19";"2020-04-07";10;2;17;0
"84";"29";"2020-04-07";27;3;113;0
"84";"39";"2020-04-07";54;14;187;2
"84";"49";"2020-04-07";121;33;257;7
"84";"59";"2020-04-07";309;119;385;17
"84";"69";"2020-04-07";563;248;387;32
"84";"79";"2020-04-07";768;268;381;143
"84";"89";"2020-04-07";729;48;276;258
"84";"90";"2020-04-07";325;2;62;128
"93";"0";"2020-04-07";1738;434;1574;253
"93";"09";"2020-04-07";0;0;0;0
"93";"19";"2020-04-07";6;1;27;0
"93";"29";"2020-04-07";32;6;126;2
"93";"39";"2020-04-07";52;5;167;1
"93";"49";"2020-04-07";104;29;263;2
"93";"59";"2020-04-07";269;82;331;12
"93";"69";"2020-04-07";366;115;290;19
"93";"79";"2020-04-07";411;140;186;60
"93";"89";"2020-04-07";333;34;113;107
"93";"90";"2020-04-07";131;2;40;48
"94";"0";"2020-04-07";94;23;113;32
"94";"09";"2020-04-07";0;0;0;0
"94";"19";"2020-04-07";0;0;4;0
"94";"29";"2020-04-07";0;0;14;0
"94";"39";"2020-04-07";2;1;13;0
"94";"49";"2020-04-07";4;1;17;1
"94";"59";"2020-04-07";11;2;20;1
"94";"69";"2020-04-07";14;8;17;2
"94";"79";"2020-04-07";25;7;12;7
"94";"89";"2020-04-07";27;4;7;16
"94";"90";"2020-04-07";10;0;5;5
"01";"0";"2020-04-08";33;16;46;10
"01";"09";"2020-04-08";0;0;0;0
"01";"19";"2020-04-08";0;0;0;0
"01";"29";"2020-04-08";0;0;1;0
"01";"39";"2020-04-08";1;1;3;0
"01";"49";"2020-04-08";2;1;4;0
"01";"59";"2020-04-08";3;2;16;1
"01";"69";"2020-04-08";11;5;10;2
"01";"79";"2020-04-08";8;5;4;4
"01";"89";"2020-04-08";8;2;7;3
"01";"90";"2020-04-08";0;0;0;0
"02";"0";"2020-04-08";49;19;43;4
"02";"09";"2020-04-08";0;0;0;0
"02";"19";"2020-04-08";0;0;0;0
"02";"29";"2020-04-08";1;0;2;0
"02";"39";"2020-04-08";1;0;2;0
"02";"49";"2020-04-08";4;0;11;0
"02";"59";"2020-04-08";13;8;9;0
"02";"69";"2020-04-08";15;5;9;0
"02";"79";"2020-04-08";11;5;8;1
"02";"89";"2020-04-08";4;1;2;3
"02";"90";"2020-04-08";0;0;0;0
"03";"0";"2020-04-08";9;1;8;0
"03";"09";"2020-04-08";0;0;0;0
"03";"19";"2020-04-08";0;0;0;0
"03";"29";"2020-04-08";1;0;0;0
"03";"39";"2020-04-08";1;0;1;0
"03";"49";"2020-04-08";3;0;3;0
"03";"59";"2020-04-08";0;0;1;0
"03";"69";"2020-04-08";2;0;1;0
"03";"79";"2020-04-08";0;0;0;0
"03";"89";"2020-04-08";1;1;1;0
"03";"90";"2020-04-08";0;0;0;0
"04";"0";"2020-04-08";39;4;55;0
"04";"09";"2020-04-08";0;0;0;0
"04";"19";"2020-04-08";1;0;1;0
"04";"29";"2020-04-08";2;0;9;0
"04";"39";"2020-04-08";2;0;11;0
"04";"49";"2020-04-08";3;0;5;0
"04";"59";"2020-04-08";12;2;9;0
"04";"69";"2020-04-08";8;1;11;0
"04";"79";"2020-04-08";5;1;9;0
"04";"89";"2020-04-08";6;0;0;0
"04";"90";"2020-04-08";0;0;0;0
"06";"0";"2020-04-08";15;4;25;2
"06";"09";"2020-04-08";0;0;0;0
"06";"19";"2020-04-08";0;0;1;0
"06";"29";"2020-04-08";1;0;2;0
"06";"39";"2020-04-08";0;0;3;0
"06";"49";"2020-04-08";2;1;7;1
"06";"59";"2020-04-08";2;1;7;1
"06";"69";"2020-04-08";7;2;2;0
"06";"79";"2020-04-08";1;0;1;0
"06";"89";"2020-04-08";2;0;2;0
"06";"90";"2020-04-08";0;0;0;0
"11";"0";"2020-04-08";12479;2668;6857;2850
"11";"09";"2020-04-08";0;0;0;0
"11";"19";"2020-04-08";34;11;52;1
"11";"29";"2020-04-08";174;30;301;3
"11";"39";"2020-04-08";526;133;761;17
"11";"49";"2020-04-08";1104;299;1027;49
"11";"59";"2020-04-08";2090;732;1475;202
"11";"69";"2020-04-08";2542;888;1387;406
"11";"79";"2020-04-08";2500;496;989;705
"11";"89";"2020-04-08";2260;37;550;953
"11";"90";"2020-04-08";1053;3;139;484
"24";"0";"2020-04-08";837;213;435;154
"24";"09";"2020-04-08";0;0;0;0
"24";"19";"2020-04-08";0;0;8;0
"24";"29";"2020-04-08";11;2;15;0
"24";"39";"2020-04-08";20;8;27;1
"24";"49";"2020-04-08";44;16;70;1
"24";"59";"2020-04-08";82;32;70;4
"24";"69";"2020-04-08";162;77;94;10
"24";"79";"2020-04-08";194;71;82;32
"24";"89";"2020-04-08";202;7;48;65
"24";"90";"2020-04-08";112;0;9;39
"27";"0";"2020-04-08";1227;292;1160;412
"27";"09";"2020-04-08";0;0;0;0
"27";"19";"2020-04-08";4;1;12;0
"27";"29";"2020-04-08";6;0;51;0
"27";"39";"2020-04-08";22;7;93;2
"27";"49";"2020-04-08";36;14;138;4
"27";"59";"2020-04-08";117;47;197;9
"27";"69";"2020-04-08";246;100;215;37
"27";"79";"2020-04-08";299;97;213;89
"27";"89";"2020-04-08";359;23;183;195
"27";"90";"2020-04-08";136;2;45;75
"28";"0";"2020-04-08";680;213;453;165
"28";"09";"2020-04-08";0;0;0;0
"28";"19";"2020-04-08";2;0;2;0
"28";"29";"2020-04-08";5;0;24;0
"28";"39";"2020-04-08";10;6;41;1
"28";"49";"2020-04-08";52;25;56;2
"28";"59";"2020-04-08";88;45;94;9
"28";"69";"2020-04-08";169;70;88;22
"28";"79";"2020-04-08";160;52;77;36
"28";"89";"2020-04-08";146;15;51;65
"28";"90";"2020-04-08";45;0;13;30
"32";"0";"2020-04-08";2366;573;1575;679
"32";"09";"2020-04-08";0;0;0;0
"32";"19";"2020-04-08";6;3;9;0
"32";"29";"2020-04-08";22;7;85;0
"32";"39";"2020-04-08";57;15;153;2
"32";"49";"2020-04-08";144;47;222;8
"32";"59";"2020-04-08";301;113;335;29
"32";"69";"2020-04-08";492;180;265;87
"32";"79";"2020-04-08";568;169;261;158
"32";"89";"2020-04-08";578;31;164;275
"32";"90";"2020-04-08";175;1;54;116
"44";"0";"2020-04-08";4708;937;3797;1781
"44";"09";"2020-04-08";0;0;0;0
"44";"19";"2020-04-08";12;2;26;0
"44";"29";"2020-04-08";43;6;167;1
"44";"39";"2020-04-08";97;27;250;7
"44";"49";"2020-04-08";203;58;371;20
"44";"59";"2020-04-08";529;168;651;54
"44";"69";"2020-04-08";982;345;802;186
"44";"79";"2020-04-08";1178;286;745;487
"44";"89";"2020-04-08";1184;38;514;740
"44";"90";"2020-04-08";428;1;143;280
"52";"0";"2020-04-08";700;178;570;153
"52";"09";"2020-04-08";0;0;0;0
"52";"19";"2020-04-08";1;0;1;0
"52";"29";"2020-04-08";8;2;22;0
"52";"39";"2020-04-08";17;5;41;0
"52";"49";"2020-04-08";36;12;83;1
"52";"59";"2020-04-08";81;37;101;3
"52";"69";"2020-04-08";141;54;110;19
"52";"79";"2020-04-08";168;65;122;28
"52";"89";"2020-04-08";178;1;75;66
"52";"90";"2020-04-08";68;1;14;36
"53";"0";"2020-04-08";484;136;373;107
"53";"09";"2020-04-08";0;0;0;0
"53";"19";"2020-04-08";0;0;3;0
"53";"29";"2020-04-08";6;1;13;0
"53";"39";"2020-04-08";12;1;44;0
"53";"49";"2020-04-08";31;14;43;0
"53";"59";"2020-04-08";65;29;66;1
"53";"69";"2020-04-08";96;44;73;14
"53";"79";"2020-04-08";130;42;80;21
"53";"89";"2020-04-08";99;5;35;46
"53";"90";"2020-04-08";42;0;9;25
"75";"0";"2020-04-08";797;242;739;165
"75";"09";"2020-04-08";0;0;0;0
"75";"19";"2020-04-08";3;0;11;0
"75";"29";"2020-04-08";10;1;46;0
"75";"39";"2020-04-08";19;5;63;0
"75";"49";"2020-04-08";39;17;95;1
"75";"59";"2020-04-08";88;40;142;8
"75";"69";"2020-04-08";180;81;138;11
"75";"79";"2020-04-08";176;75;108;36
"75";"89";"2020-04-08";185;19;87;73
"75";"90";"2020-04-08";90;0;31;35
"76";"0";"2020-04-08";1000;329;993;195
"76";"09";"2020-04-08";0;0;0;0
"76";"19";"2020-04-08";2;1;7;0
"76";"29";"2020-04-08";8;2;56;1
"76";"39";"2020-04-08";20;5;94;0
"76";"49";"2020-04-08";63;17;134;1
"76";"59";"2020-04-08";128;60;210;7
"76";"69";"2020-04-08";223;105;170;17
"76";"79";"2020-04-08";270;113;192;43
"76";"89";"2020-04-08";206;23;92;93
"76";"90";"2020-04-08";80;3;22;33
"84";"0";"2020-04-08";2908;736;2330;654
"84";"09";"2020-04-08";0;0;0;0
"84";"19";"2020-04-08";9;3;18;0
"84";"29";"2020-04-08";22;3;121;0
"84";"39";"2020-04-08";48;13;200;4
"84";"49";"2020-04-08";115;31;279;8
"84";"59";"2020-04-08";284;112;425;20
"84";"69";"2020-04-08";547;245;432;34
"84";"79";"2020-04-08";746;264;422;156
"84";"89";"2020-04-08";738;44;303;280
"84";"90";"2020-04-08";351;4;68;138
"93";"0";"2020-04-08";1796;437;1684;269
"93";"09";"2020-04-08";0;0;0;0
"93";"19";"2020-04-08";9;1;27;0
"93";"29";"2020-04-08";34;6;133;1
"93";"39";"2020-04-08";58;7;174;1
"93";"49";"2020-04-08";99;28;278;2
"93";"59";"2020-04-08";271;80;345;13
"93";"69";"2020-04-08";366;110;315;21
"93";"79";"2020-04-08";424;146;202;66
"93";"89";"2020-04-08";365;38;131;110
"93";"90";"2020-04-08";136;2;46;52
"94";"0";"2020-04-08";90;21;110;32
"94";"09";"2020-04-08";0;0;0;0
"94";"19";"2020-04-08";0;0;4;0
"94";"29";"2020-04-08";0;0;14;0
"94";"39";"2020-04-08";2;1;12;0
"94";"49";"2020-04-08";3;0;15;1
"94";"59";"2020-04-08";12;3;21;1
"94";"69";"2020-04-08";14;8;17;2
"94";"79";"2020-04-08";25;6;11;7
"94";"89";"2020-04-08";25;3;8;16
"94";"90";"2020-04-08";9;0;5;5
"01";"0";"2020-04-09";33;17;49;10
"01";"09";"2020-04-09";0;0;0;0
"01";"19";"2020-04-09";0;0;0;0
"01";"29";"2020-04-09";0;0;1;0
"01";"39";"2020-04-09";1;1;3;0
"01";"49";"2020-04-09";3;2;4;0
"01";"59";"2020-04-09";4;2;16;1
"01";"69";"2020-04-09";10;5;11;2
"01";"79";"2020-04-09";8;6;5;4
"01";"89";"2020-04-09";7;1;8;3
"01";"90";"2020-04-09";0;0;0;0
"02";"0";"2020-04-09";47;17;45;5
"02";"09";"2020-04-09";0;0;0;0
"02";"19";"2020-04-09";0;0;0;0
"02";"29";"2020-04-09";1;0;2;0
"02";"39";"2020-04-09";1;0;2;0
"02";"49";"2020-04-09";4;0;11;0
"02";"59";"2020-04-09";13;8;9;0
"02";"69";"2020-04-09";13;4;11;0
"02";"79";"2020-04-09";11;5;8;1
"02";"89";"2020-04-09";3;0;2;4
"02";"90";"2020-04-09";1;0;0;0
"03";"0";"2020-04-09";9;1;12;0
"03";"09";"2020-04-09";0;0;0;0
"03";"19";"2020-04-09";0;0;0;0
"03";"29";"2020-04-09";0;0;1;0
"03";"39";"2020-04-09";0;0;2;0
"03";"49";"2020-04-09";3;0;5;0
"03";"59";"2020-04-09";1;0;1;0
"03";"69";"2020-04-09";2;0;1;0
"03";"79";"2020-04-09";1;0;0;0
"03";"89";"2020-04-09";1;1;1;0
"03";"90";"2020-04-09";0;0;0;0
"04";"0";"2020-04-09";36;3;58;0
"04";"09";"2020-04-09";0;0;0;0
"04";"19";"2020-04-09";1;0;1;0
"04";"29";"2020-04-09";2;0;9;0
"04";"39";"2020-04-09";1;0;12;0
"04";"49";"2020-04-09";2;0;6;0
"04";"59";"2020-04-09";11;1;10;0
"04";"69";"2020-04-09";8;1;11;0
"04";"79";"2020-04-09";5;1;9;0
"04";"89";"2020-04-09";6;0;0;0
"04";"90";"2020-04-09";0;0;0;0
"06";"0";"2020-04-09";16;4;26;2
"06";"09";"2020-04-09";0;0;0;0
"06";"19";"2020-04-09";0;0;1;0
"06";"29";"2020-04-09";1;0;2;0
"06";"39";"2020-04-09";0;0;4;0
"06";"49";"2020-04-09";2;1;7;1
"06";"59";"2020-04-09";2;1;7;1
"06";"69";"2020-04-09";7;2;2;0
"06";"79";"2020-04-09";2;0;1;0
"06";"89";"2020-04-09";2;0;2;0
"06";"90";"2020-04-09";0;0;0;0
"11";"0";"2020-04-09";12681;2654;7620;3040
"11";"09";"2020-04-09";0;0;0;0
"11";"19";"2020-04-09";35;10;59;1
"11";"29";"2020-04-09";177;31;321;3
"11";"39";"2020-04-09";541;131;812;19
"11";"49";"2020-04-09";1065;301;1149;54
"11";"59";"2020-04-09";2045;702;1645;215
"11";"69";"2020-04-09";2558;901;1557;431
"11";"79";"2020-04-09";2559;500;1108;760
"11";"89";"2020-04-09";2379;38;622;1002
"11";"90";"2020-04-09";1123;3;159;524
"24";"0";"2020-04-09";864;207;474;164
"24";"09";"2020-04-09";0;0;0;0
"24";"19";"2020-04-09";0;0;8;0
"24";"29";"2020-04-09";10;2;16;0
"24";"39";"2020-04-09";22;8;28;1
"24";"49";"2020-04-09";47;15;73;1
"24";"59";"2020-04-09";77;32;78;4
"24";"69";"2020-04-09";158;74;100;11
"24";"79";"2020-04-09";201;69;90;32
"24";"89";"2020-04-09";211;6;56;69
"24";"90";"2020-04-09";128;1;12;44
"27";"0";"2020-04-09";1211;283;1237;427
"27";"09";"2020-04-09";0;0;0;0
"27";"19";"2020-04-09";3;1;13;0
"27";"29";"2020-04-09";6;0;51;0
"27";"39";"2020-04-09";23;5;96;2
"27";"49";"2020-04-09";36;12;142;4
"27";"59";"2020-04-09";114;47;204;9
"27";"69";"2020-04-09";239;100;235;37
"27";"79";"2020-04-09";286;94;233;94
"27";"89";"2020-04-09";365;22;196;201
"27";"90";"2020-04-09";136;1;54;79
"28";"0";"2020-04-09";697;212;478;179
"28";"09";"2020-04-09";0;0;0;0
"28";"19";"2020-04-09";1;0;2;0
"28";"29";"2020-04-09";5;0;26;0
"28";"39";"2020-04-09";11;7;42;1
"28";"49";"2020-04-09";51;26;59;3
"28";"59";"2020-04-09";92;44;95;10
"28";"69";"2020-04-09";163;68;94;27
"28";"79";"2020-04-09";167;52;83;38
"28";"89";"2020-04-09";153;15;55;70
"28";"90";"2020-04-09";53;0;13;30
"32";"0";"2020-04-09";2429;580;1703;715
"32";"09";"2020-04-09";0;0;0;0
